Country	Year	Status	Life_Expectancy 
Timor-Leste	2000	Developing	58.7
Togo	2000	Developing	54.6
Tonga	2000	Developing	71.6
Trinidad and Tobago	2000	Developing	69.1
Tunisia	2000	Developing	72.9
Turkey	2000	Developing	74
Turkmenistan	2000	Developing	63.8
Uganda	2000	Developing	46.6
Ukraine	2000	Developing	67.5
United Arab Emirates	2000	Developing	74.2
United Kingdom of Great Britain and Northern Ireland	2000	Developed	77.8
United Republic of Tanzania	2000	Developing	49.2
United States of America	2000	Developed	76.8
Uruguay	2000	Developing	75.1
Uzbekistan	2000	Developing	67.1
Vanuatu	2000	Developing	69
Venezuela (Bolivarian Republic of)	2000	Developing	72.5
Viet Nam	2000	Developing	73.4
Yemen	2000	Developing	68
Zambia	2000	Developing	43.8
Zimbabwe	2000	Developing	46
