Country	Year	Status	Life_Expectancy 
Malaysia	2014	Developing	74.8
Maldives	2014	Developing	78.2
Mali	2014	Developing	57.8
Malta	2014	Developed	81.4
Mauritania	2014	Developing	63
Mauritius	2014	Developing	74.2
Mexico	2014	Developing	76.6
Micronesia (Federated States of)	2014	Developing	69.4
Mongolia	2014	Developing	68.4
Montenegro	2014	Developing	75.9
Morocco	2014	Developing	74.1
Mozambique	2014	Developing	56.7
Myanmar	2014	Developing	66.4
Namibia	2014	Developing	65.9
Nepal	2014	Developing	69.6
Netherlands	2014	Developed	81.7
New Zealand	2014	Developed	81.5
Nicaragua	2014	Developing	74.5
Niger	2014	Developing	61.4
Nigeria	2014	Developing	53.6
Norway	2014	Developed	81.6
Oman	2014	Developing	76.4
Pakistan	2014	Developing	66.2
Panama	2014	Developing	77.6
Papua New Guinea	2014	Developing	62.7
Paraguay	2014	Developing	73.9
Peru	2014	Developing	75.3
Philippines	2014	Developing	68.4
Poland	2014	Developed	77.3
Portugal	2014	Developed	89
Qatar	2014	Developing	78.1
Republic of Korea	2014	Developing	82
Republic of Moldova	2014	Developing	71.8
Romania	2014	Developed	74.8
Russian Federation	2014	Developing	73
Rwanda	2014	Developing	65.7
Saint Lucia	2014	Developing	75
Saint Vincent and the Grenadines	2014	Developing	73.1
Samoa	2014	Developing	73.8
Sao Tome and Principe	2014	Developing	67.3
Saudi Arabia	2014	Developing	74.4
Senegal	2014	Developing	66.4
Serbia	2014	Developing	75.4
Seychelles	2014	Developing	73
Sierra Leone	2014	Developing	48.1
Singapore	2014	Developed	82.9
Slovakia	2014	Developed	76.4
Slovenia	2014	Developed	87
Solomon Islands	2014	Developing	68.8
Somalia	2014	Developing	54.3
South Africa	2014	Developing	62
South Sudan	2014	Developing	56.6
Spain	2014	Developed	82.6
Sri Lanka	2014	Developing	74.7
Sudan	2014	Developing	63.8
Suriname	2014	Developing	71.4
Swaziland	2014	Developing	58.4
Sweden	2014	Developed	82.3
Switzerland	2014	Developed	83.2
Syrian Arab Republic	2014	Developing	64.4
Tajikistan	2014	Developing	69.6
Thailand	2014	Developing	74.6
The former Yugoslav republic of Macedonia	2014	Developing	75.5
Timor-Leste	2014	Developing	68
Togo	2014	Developing	59.7
Tonga	2014	Developing	73.3
Trinidad and Tobago	2014	Developing	71.1
Tunisia	2014	Developing	75.1
Turkey	2014	Developing	75.5
Turkmenistan	2014	Developing	66
Uganda	2014	Developing	61.5
Ukraine	2014	Developing	78
United Arab Emirates	2014	Developing	76.9
United Kingdom of Great Britain and Northern Ireland	2014	Developed	81
United Republic of Tanzania	2014	Developing	67
United States of America	2014	Developed	79.1
Uruguay	2014	Developing	76.8
Uzbekistan	2014	Developing	69.2
Vanuatu	2014	Developing	71.7
Venezuela (Bolivarian Republic of)	2014	Developing	73.9
Viet Nam	2014	Developing	75.9
Yemen	2014	Developing	65.4
Zambia	2014	Developing	61.1
Zimbabwe	2014	Developing	59.2
